s	label	def	source	parent
rksd:Pyroclastic_Rock	pyroclastic rock	Fragmental igneous rock that consists of greater than 75 percent fragments produced as a direct result of eruption or extrusion of magma from within the earth onto its surface. Includes autobreccia associated with lava flows and excludes deposits reworked by epiclastic processes.	based on LeMaitre et al. 2002	sesrs:Pyroclastic_Material
sesrs:Mica_Schist	mica schist	A schist that consists of more than 50 percent mica minerals, typically muscovite or biotite. Special type included to distinguish this common variety of schist.	This vocabulary	sesrs:Schist
sesrs:Foid_Bearing_Syenite	foid bearing syenite	Syenitic rock that contains between 0 and 10 percent feldspathoid mineral and no quartz in the QAPF fraction. Defined modally in QAPF Field 7'.	LeMaitre et al. 2002	sesrs:Syenitic_Rock
sesrs:Quartz_Syenite	quartz syenite	Syenitic rock that contains between 5 and 20 percent quartz in the QAPF fraction. Defined modally in QAPF Field 7*.	LeMaitre et al. 2002	sesrs:Syenitic_Rock
sesrs:Syenite	syenite	Syenitic rock that contains between 0 and 5 percent quartz and no feldspathoid mineral in the QAPF fraction. Defined modally in QAPF Field 7.	LeMaitre et al. 2002	sesrs:Syenitic_Rock
sesrs:Foid_Bearing_Trachyte	foid bearing trachyte	Trachytic rock that contains between 0 and 10 percent feldspathoid in the QAPF fraction, and no quartz. QAPF field 7'.	LeMaitre et al. 2002	sesrs:Trachytic_Rock
sesrs:Quartz_Trachyte	quartz trachyte	Trachytic rock that contains between 5 and 20 percent quartz in the QAPF fraction. QAPF field 7*.	LeMaitre et al. 2002	sesrs:Trachytic_Rock
sesrs:Trachyte	trachyte	Trachytoid that has a plagioclase to total feldspar ratio between 0.1 and 0.35, between 0 and 5 percent quartz in the QAPF fraction, and no feldspathoid minerals. QAPF field 7.	LeMaitre et al. 2002	sesrs:Trachytic_Rock
sesrs:Felsic_Volcanic_Material	Felsic volcanic material	light-colored material produced by volcanic processes, containing an abundance of quartz, feldspar, muscovite, or felspathoid (light-colored minerals).	https://www.mindat.org/glossary/felsic	sesrs:Volcanic_Material
sesrs:intermediate_volcanic_material	Intermediate color volcanic material	Material produced by volcanic processes, that has sub-equal proportion of light and dark colored mineral. Not recommended for usage with new sample registrations. (see acid, basic, intermediate composition categories)		sesrs:Volcanic_Material
sesrs:mafic_volcanic_material	Mafic volcanic material	Dark-colored material produced by volcanic processes, containing an abundance of ferromagnesian rock-forming silicates, especially Pyroxene Group, Amphibole Supergroup, olivine and biotite	https://www.mindat.org/glossary/mafic	sesrs:Volcanic_Material
sesrs:Pyroclastic_Material	Pyroclastic material	Fragmental igneous material that consists of more than 75 percent of particles formed by disruption as a direct result of volcanic action.	LeMaitre et al. 2002	sesrs:Volcanic_Material
sesrs:ultramafic_volcanic_material	Ultramafic volcanic material	material produced by volcanic processes that consists of greater than 90 percent mafic minerals.		sesrs:Volcanic_Material
rksd:Volcanic_Rock	Volcanic rock	Rock that exhibits direct evidence of extrusive igneous processes in its genesis.		sesrs:Volcanic_Material
sesrs:advanced_argillic_altered_rock	advanced argillic altered rock	Advanced argillic alteration occurs under lower pH and higher temperature conditions than argillic alteration. Kaolinite and dickite occur at lower temperatures whereas pyrophyllite and andalusite occur under high temperature conditions (T > 300°C). Quartz deposition is common. Alunite, topaz, zunyite, tourmaline, enargite and tennantite may also occur. In many cases, advanced argillic alteration zones, or “lithocaps”, develop at shallow levels above porphyry Cu–Au deposits (e.g., Lepanto-Far Southeast, Philippines; Maricunga, Chile). Advanced argillic alteration mineral assemblages precipitate from SO2- and HCl-rich magmatic vapor, which arises from an underlying intrusive source, and can also form in supergene environments, due to post-hydrothermal weathering and oxidation of pyrite, locally creating pH<1 liquid due to high concentrations of H2SO4 within the vadose zone, where kaolinite and alunite plus Fe hydroxides form.	Antonio Arribas, Jeffrey Hedenquist, 2019, Environments of advanced argillic alteration: II) steam-heated, and exploration implications: Conference: Society of Resource Geology Annual SymposiumAt: University of Tokyo, Tokyo (Japan)Volume: 69, accessed at https://www.researchgate.net/publication/334230797_Environments_of_advanced_argillic_alteration_II_steam-heated_and_exploration_implications#fullTextFileContent; Constantinos Mavrogonatos et al., 2018, Mineralogical Study of the Advanced Argillic Alteration Zone at the Konos Hill Mo–Cu–Re–Au Porphyry Prospect, NE Greece: Minerals, 8, 479; doi:10.3390/min8110479;  https://en.wikipedia.org/wiki/Argillic_alteration	sesrs:altered_rock
sesrs:albitic_altered_rock	albitic altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:alunitic_altered_rock	alunitic altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:argillic_altered_rock	argillic altered rock	Argillic alteration is hydrothermal alteration of wall rock which introduces clay minerals including kaolinite, smectite and illite. The process generally occurs at low temperatures and may occur in atmospheric conditions. Argillic alteration is representative of supergene environments where low temperature groundwater becomes acidic. Argillic assemblages include kaolinite replacing plagioclase and montmorillonite replacing amphibole and plagioclase. Orthoclase is generally stable and unaffected. Argillic grades into phyllic alteration at higher temperatures in an ore deposit hydrothermal system.	https://en.wikipedia.org/wiki/Argillic_alteration	sesrs:altered_rock
sesrs:calcsilicate_altered_rock	calcsilicate altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:carbonate_altered_rock	carbonate altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:chloritic_altered_rock	chloritic altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:deuteric_altered_rock	deuteric altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:epidote_altered_rock	epidote altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:hematitic_altered_rock	hematitic altered rock	Alteration characterized by finely dispersed hematite	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:hematitic_altered_rock	hematitic altered rock	Alteration characterized by finely dispersed hematite	Williams, P.J., 1994, Aust. J. Earth Science, v41, p381-382	sesrs:altered_rock
sesrs:kaolinitic_altered_rock	kaolinitic altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:phyllic_altered_rock	phyllic altered rock	Altered rock characterised by the assemblage of quartz + sericite + pyrite, and occurs at high temperatures and moderately acidic (low pH) conditions. Typically associated with copper porphyry ore deposits in calc-alkaline rocks.	https://en.wikipedia.org/wiki/Phyllic_alteration	sesrs:altered_rock
sesrs:potassic_altered_rock	potassic altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:propylitic_altered_rock	propylitic altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:pyritic_altered_rock	pyritic altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:saussuritised_rock	saussuritised rock	Rock in which calcium-bearing plagioclase feldspar is altered to an assemblage of minerals called saussurite, typically including zoisite, chlorite, amphibole, and carbonate minerals. Residual fluids present during the late stages of magmatic crystallization can react with previously formed plagioclase feldspar to form saussurite; the saussurite will be spread through the plagioclase or located near its outer margin. The plagioclase may be reconstituted into a more sodium-rich variety (albite), although the original form of the crystal is retained. Later hydrothermal alteration can produce the same result. Mafic rocks are especially susceptible to saussuritization owing to their high calcium content; the more calcium-rich portions of plagioclase in acidic rocks also are often saussuritized.	https://www.britannica.com/science/saussuritization	sesrs:altered_rock
sesrs:sericitic_altered_rock	sericitic altered rock	Rock in which plagioclase feldspar has been converted to sericite, an informal term for  fine-grained white phyllosilicate minerals. Commonly associated with phyllic altered rocks, used to describe less intense alteration.	https://en.wikipedia.org/wiki/Sericitic_alteration	sesrs:altered_rock
sesrs:serpentinised_rock	serpentinised rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:silicified_rock	silicificed rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:uralitised_rock	uralitised rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
sesrs:zeolitic_altered_rock	zeolitic altered rock	definition missing	CGI alterationtype SKOS vocabulary 2012-11-24	sesrs:altered_rock
mat:biogenicnonorganicmaterial	Biogenic non-organic material	Material produced by an organism but not composed of very large molecules of biological origin. E.g. bone, tooth, shell, coral, skeleton		sesrs:biogenic_material
mat:organicmaterial	Organic material	Material derived from living organisms and composed primarily of one or more very large molecules of biological origin. Examples: body (animal or plant), body part, fecal matter, seeds, wood, tissue, biological fluids, biological waste, algal material, biofilm, necromass, plankton. source: http://purl.obolibrary.org/obo/ENVO_01000155		sesrs:biogenic_material
sesrs:impure_calcareous_carbonate_sediment	impure calcareous carbonate sediment	Carbonate sediment in which between 50 and 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin, and a calcite (plus aragonite) to dolomite ratio greater than 1 to 1.	This vocabulary	sesrs:calcareous_carbonate_sediment
sesrs:pure_calcareous_carbonate_sediment	pure calcareous carbonate sediment	Carbonate sediment in which greater than 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin, and a calcite (plus aragonite) to dolomite ratio greater than 1 to 1.	This vocabulary	sesrs:calcareous_carbonate_sediment
sesrs:calcareous_carbonate_sediment	calcareous carbonate sediment	Carbonate sediment with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1. Includes lime-sediments.	after Hallsworth and Knox 1999	sesrs:calcareous_carbonate_sedimentary_material
sesrs:calcareous_carbonate_sedimentary_rock	calcareous carbonate sedimentary rock	Carbonate sedimentary rock with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1. Includes limestone and dolomitic limestone.	SLTTs 2004; Hallsworth and Knox 1999	sesrs:calcareous_carbonate_sedimentary_material
sesrs:impure_limestone	impure limestone	Impure carbonate sedimentary rock with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1.	This vocabulary	sesrs:calcareous_carbonate_sedimentary_rock
sesrs:limestone	limestone	Pure carbonate sedimentary rock with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1. Includes limestone and dolomitic limestone.	This vocabulary	sesrs:calcareous_carbonate_sedimentary_rock
sesrs:carbonate_ooze	carbonate ooze	ooze that consists of more than 50 percent carbonate skeletal remains	This vocabulary	sesrs:carbonate_mud
sesrs:calcareous_carbonate_sedimentary_material	calcareous carbonate sedimentary material	Carbonate sedimentary material of unspecified consolidation state with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1. Includes lime-sediments, limestone and dolomitic limestone.	after Hallsworth and Knox 1999	sesrs:carbonate_sedimentary_material
rksd:Carbonate_Sediment	carbonate sediment	Sediment in which at least 50 percent of the primary and/or recrystallized constituents are composed of one (or more) of the carbonate minerals calcite, aragonite and dolomite, in particles of intrabasinal origin.	SLTTs 2004	sesrs:carbonate_sedimentary_material
rksd:Carbonate_Sedimentary_Rock	carbonate sedimentary rock	Sedimentary rock in which at least 50 percent of the primary and/or recrystallized constituents are composed of one (or more) of the carbonate minerals calcite, aragonite, magnesite or dolomite.	SLTTs 2004	sesrs:carbonate_sedimentary_material
sesrs:dolomitic_or_magnesian_sedimentary_material	dolomitic or magnesian sedimentary material	Carbonate sedimentary material of unspecified consolidation degree with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1. Includes dolomite sediment, dolostone, lime dolostone and magnesite-stone.	after SLTTs 2004, Hallsworth and Knox 1999	sesrs:carbonate_sedimentary_material
sesrs:claystone	claystone	Mudstone that contains no detectable silt, inferred to consist virtually entirely of clay-size particles.	This vocabulary	sesrs:clastic_mudstone
sesrs:shale	shale	Laminated mudstone that will part or break along thin, closely spaced layers parallel to stratification.	NADM SLTT sedimentary, 2004	sesrs:clastic_mudstone
sesrs:siltstone	siltstone	Mudstone that contains detectable silt. (see comments)	This vocabulary	sesrs:clastic_mudstone
sesrs:arenite	arenit	Clastic sandstone that contains less than 10 percent matrix. Matrix is mud-size silicate minerals (clay, feldspar, quartz, rock fragments, and alteration products) of detrital or diagenetic nature.	Pettijohn, Potter, Siever, 1972, Sand and Sandstone: New York, Springer Verlag, 681 p.	sesrs:clastic_sandstone
sesrs:arenite	arenite	Clastic sandstone that contains less than 10 percent matrix. Matrix is mud-size silicate minerals (clay, feldspar, quartz, rock fragments, and alteration products) of detrital or diagenetic nature.	Pettijohn, Potter, Siever, 1972, Sand and Sandstone: New York, Springer Verlag, 681 p.	sesrs:clastic_sandstone
sesrs:wacke	wacke	Clastic sandstone with more than 10 percent matrix of indeterminate detrital or diagenetic nature. Matrix is mud size silicate minerals (clay, feldspar, quartz, rock fragments, and alteration products).	Pettijohn, Potter, Siever, 1972, Sand and Sandstone: New York, Springer Verlag, 681 p.	sesrs:clastic_sandstone
rksd:clastic_sediment	clastic sediment	Sediment in which at least 50 percent of the constituent particles were derived from erosion, weathering, or mass-wasting of pre-existing earth materials, and transported to the place of deposition by mechanical agents such as water, wind, ice and gravity.	SLTTs 2004; Neuendorf et al. 2005	sesrs:clastic_sedimentary_material
rksd:Clastic_Sedimentary_Rock	clastic sedimentary rock	Sedimentary rock in which at least 50 percent of the constituent particles were derived from erosion, weathering, or mass-wasting of pre-existing earth materials, and transported to the place of deposition by mechanical agents such as water, wind, ice and gravity.	SLTTs 2004; Neuendorf et al. 2005	sesrs:clastic_sedimentary_material
sesrs:composite_genesis_rock	Composite genesis rock	Rock formed by geological modification of pre-existing rocks outside the realm of igneous and sedimentary processes. Includes rocks formed by impact metamorphism, standard dynamothermal metamorphism, brittle deformation, weathering, metasomatism and hydrothermal alteration (diagenesis is a sedimentary process in this context).	SLTTm 2004	sesrs:composite_genesis_material
rksd:Fault_Related_Material	Fault related material	Material formed as a result brittle faulting, composed of greater than 10 percent matrix; matrix is fine-grained material caused by tectonic grainsize reduction. Includes cohesive (cataclasite series, mylonitic rocks) and non-cohesive (breccia-gouge series) material.	This vocabulary; SLTTm 2004	sesrs:composite_genesis_material
rksd:Impact_Generated_Material	Impact generated material	Material that contains features indicative of shock metamorphism, such as microscopic planar deformation features within grains or shatter cones, interpreted to be the result of extraterrestrial bolide impact. Includes breccias and melt rocks.	Stöffler and Grieve 2007; Jackson 1997	sesrs:composite_genesis_material
sesrs:material_formed_in_surficial_environment	Material formed in surficial environment	Material that is the product of weathering processes operating on pre-existing rocks or deposits, analogous to hydrothermal or metasomatic rocks, but formed at ambient Earth surface temperature and pressure.	This vocabulary	sesrs:composite_genesis_material
sesrs:duricrust	Duricrust	Rock forming a hard crust or layer at or near the Earth's surface at the time of formation, e.g. in the upper horizons of a soil, characterized by structures indicative of pedogenic origin.	This vocabulary	sesrs:composite_genesis_rock
rksd:Metamorphic_Rock	Metamorphic rock	Rock formed by solid-state mineralogical, chemical and/or structural changes to a pre-existing rock, in response to marked changes in temperature, pressure, shearing stress and chemical environment.	Jackson 1997	sesrs:composite_genesis_rock
rksd:Cataclasite_Series	cataclasite series	Fault-related rock that maintained primary cohesion during deformation, with matrix comprising greater than 10 percent of rock mass; matrix is fine-grained material formed through grain size reduction by fracture as opposed to crystal plastic process that operate in mylonitic rock. Includes cataclasite, protocataclasite and ultracataclasite.	Sibson, 1977; Scholz, 1990; Snoke and Tullis, 1998; Barker, 1998 Appendix II; NADM SLTTm, 2004	sesrs:composite_genesis_rock
rksd:Metasomatic_Rock	metasomatic rock	Rock that has fabric and composition indicating open-system mineralogical and chemical changes in response to interaction with a fluid phase, typically water rich.	This vocabulary	sesrs:composite_genesis_rock
sesrs:dolomitic_or_magnesian_sedimentary_rock	dolomitic or magnesian sedimentary rock	Carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1. Includes dolostone, lime dolostone and magnesite-stone.	after SLTTs 2004, Hallsworth and Knox 1999	sesrs:dolomitic_or_magnesian_sedimentary_material
sesrs:dolomitic_sediment	dolomitic sediment	Carbonate sediment with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	after SLTTs 2004, Hallsworth and Knox 1999	sesrs:dolomitic_or_magnesian_sedimentary_material
sesrs:dolostone	dolomite	Pure carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	This vocabulary	sesrs:dolomitic_or_magnesian_sedimentary_rock
sesrs:impure_dolostone	impure dolomite	Impure carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	This vocabulary	sesrs:dolomitic_or_magnesian_sedimentary_rock
sesrs:impure_dolomitic_sediment	impure dolomitic sediment	Carbonate sediment in which between 50 and 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin, and the ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	This vocabulary	sesrs:dolomitic_sediment
sesrs:pure_dolomitic_sediment	pure dolomitic sediment	Carbonate sediment in which greater than 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin, and a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	This vocabulary	sesrs:dolomitic_sediment
sesrs:exotic_evaporite	exotic evaporite	Evaporite that is not 50 percent halite or 50 percent gypsum or anhydrite.	This vocabulary	sesrs:evaporite
sesrs:rock_gypsum_or_anhydrite	gypsum or anhydrite	Evaporite composed of at least 50 percent gypsum or anhydrite.	This vocabulary	sesrs:evaporite
sesrs:rock_salt	rock salt	Evaporite composed of at least 50 percent halite.	This vocabulary	sesrs:evaporite
sesrs:gneiss	gneiss	Foliated metamorphic rock with bands or lenticles rich in granular minerals alternating with bands or lenticles rich in minerals with a flaky or elongate prismatic habit. Mylonitic foliation or well developed, continuous schistosity (greater than 50 percent of the rock consists of grains participate in a planar or linear fabric) precludes classification with this concept.	Neuendorf et al. 2005	sesrs:foliated_metamorphic_rock
rksd:Mylonitic_Rock	mylonitic rock	Metamorphic rock characterised by a foliation resulting from tectonic grain size reduction, in which more than 10 percent of the rock volume has undergone grain size reduction. Includes protomylonite, mylonite, ultramylonite, and blastomylonite.	Marshak and Mitra 1988	sesrs:foliated_metamorphic_rock
sesrs:phyllite	phyllite	Rock with a well developed, continuous schistosity, an average grain size between 0.1 and 0.5 millimeters, and a silvery sheen on cleavage surfaces. Individual phyllosilicate grains are barely visible with the unaided eye.	IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/)	sesrs:foliated_metamorphic_rock
sesrs:Schist	schist	Foliated phaneritic metamorphic rock with well developed, continuous schistosity, meaning that greater than 50 percent of the rock by volume is mineral grains with a thin tabular, lamellar, or acicular prismatic crystallographic habit that are oriented in a continuous planar or linear fabric.	SLTTm 2004; Neuendorf et al. 2005	sesrs:foliated_metamorphic_rock
sesrs:Slate	slate	compact, fine grained rock with an average grain size less than 0.032 millimeter and a well developed schistosity (slaty cleavage), and hence can be split into slabs or thin plates.	NADM metamorphic rock vocabulary SLTTm1.0; Neuendorf et al. 2005	sesrs:foliated_metamorphic_rock
sesrs:orthogneiss	orthogneiss	A gneiss with mineralogy and texture indicating derivation from a phaneritic igneous rock protolith. Typically consists of abundant feldspar, with quartz, and variable hornblende, biotite, and muscovite, with a relatively homogeneous character.	This vocabulary	sesrs:gneiss
sesrs:paragneiss	paragneiss	A gneiss with mineralogy and texture indicating derivation from a sedimentary rock protolith. Typically consists of abundant quartz, mica, or calcsilicate minerals; aluminosilicate minerals or garnet commonly present. composition of rock tends to be more variable on a decimetric scale that in orthogneiss.	This vocabulary	sesrs:gneiss
sesrs:hornfels	hornfels	Granofels formed by contact metamorphism, composed of a mosaic of equidimensional grains in a characteristically granoblastic or decussate matrix; porphyroblasts or relict phenocrysts may be present. Typically fine grained.	IUGS SCMR 2007 (http://www.bgs.ac.uk/SCMR/)	sesrs:granofels
rksd:Igneous_Rock	Igneous rock	rock formed as a result of igneous processes, for example intrusion and cooling of magma in the crust, or volcanic eruption.	Neuendorf et al 2005	sesrs:igneous_material
sesrs:Volcanic_Material	Volcanic Material	Material exhibiting features demonstrating an extrusive igneous origin. Consolidated or non-consolidated		sesrs:igneous_material
sesrs:Acidic_Igneous_Material	acidic igneous material	Igneous material with more than 63 percent SiO2.	after LeMaitre et al. 2002	sesrs:igneous_material
sesrs:Basic_Igneous_Material	basic igneous material	Igneous material with between 45 and 52 percent SiO2.	after LeMaitre et al. 2002	sesrs:igneous_material
sesrs:Fragmental_Igneous_Material	fragmental igneous material	igneous_material of unspecified consolidation state in which greater than 75 percent of the rock consists of fragments produced as a result of igneous rock-forming process.	CGI concept definition task group	sesrs:igneous_material
sesrs:Intermediate_Composition_Igneous_Material	intermediate composition igneous material	Igneous material with between 52 and 63 percent SiO2.	after LeMaitre et al. 2002	sesrs:igneous_material
sesrs:impure_calcareous_carbonate_sediment	impure calcareous carbonate sediment	Carbonate sediment in which between 50 and 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin, and a calcite (plus aragonite) to dolomite ratio greater than 1 to 1.	This vocabulary	sesrs:impure_carbonate_sediment
sesrs:impure_dolomitic_sediment	impure dolomitic sediment	Carbonate sediment in which between 50 and 90 percent of the constituents are composed of one (or more) of the carbonate minerals in particles of intrabasinal origin, and the ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	This vocabulary	sesrs:impure_carbonate_sediment
sesrs:impure_dolostone	impure dolomite	Impure carbonate sedimentary rock with a ratio of magnesium carbonate to calcite (plus aragonite) greater than 1 to 1.	This vocabulary	sesrs:impure_carbonate_sedimentary_rock
sesrs:impure_limestone	impure limestone	Impure carbonate sedimentary rock with a calcite (plus aragonite) to dolomite ratio greater than 1 to 1.	This vocabulary	sesrs:impure_carbonate_sedimentary_rock
rksd:Iron_Rich_Sediment	iron rich sediment	Sediment that consists of at least 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), as determined by hand-lens or petrographic analysis. Corresponds to a rock typically containing 15 percent iron by weight.	SLTTs 2004	sesrs:iron_rich_sedimentary_material
rksd:Iron_Rich_Sedimentary_Rock	iron rich sedimentary rock	Sedimentary rock that consists of at least 50 percent iron-bearing minerals (hematite, magnetite, limonite-group, siderite, iron-sulfides), as determined by hand-lens or petrographic analysis. Corresponds to a rock typically containing 15 percent iron by weight.	Hallsworth and Knox 1999; SLTTs 2004	sesrs:iron_rich_sedimentary_material
sesrs:travertine	Travertine	Biotically or abiotically precipitated calcium carbonate, from spring-fed, heated, or ambient-temperature water. May be white and spongy, various shades of orange, tan or gray, and ranges to dense, banded or laminated rock. Macrophytes, bryophytes, algae, cyanobacteria and other organisms often colonize the surface of travertine and may be preserved, to produce the porous varieties.	Neuendorf et al. 2005; http://en.wikipedia.org/wiki/Travertine; Chafetz, H.S., and Folk, R.L., 1984, Travertine: Depositional morphology an dthe bacterially constructed constituents: J. Sed. Petrology, v. 126, p.57-74.	sesrs:limestone
sesrs:chalk	chalk	A generally soft, white, very fine-grained, extremely pure, porous limestone. It forms under marine conditions from the gradual accumulation of skeletal elements from minute planktonic green algae (cocoliths), associated with varying proportions of larger microscopic fragments of bivalves, foraminifera and ostracods. It is common to find flint and chert nodules embedded in chalk.	http://en.wikipedia.org/wiki/Chalk; C.S. Harris, 2009, unpublished web page, http://www.geologyshop.co.uk/chalk.htm	sesrs:limestone
sesrs:duricrust	Duricrust	Rock forming a hard crust or layer at or near the Earth's surface at the time of formation, e.g. in the upper horizons of a soil, characterized by structures indicative of pedogenic origin.	This vocabulary	sesrs:material_formed_in_surficial_environment
mat:soil	Soil	Mixed granular mineral and organic matter modified by interaction between earth material, biosphere, and atmosphere, consisting of varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms. (https://en.wikipedia.org/wiki/Soil) Soil consists of horizons near the Earth's surface that, in contrast to the underlying parent material, have been altered by the interactions of climate, relief, and living organisms over time. (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/edu/?cid=nrcs142p2_054280) (http://purl.obolibrary.org/obo/ENVO_00001998)		sesrs:material_formed_in_surficial_environment
rksd:residual_material	residual material	Material of composite origin resulting from weathering processes at the Earth's surface, with genesis dominated by removal of chemical constituents by aqueous leaching. Minor clastic, chemical, or organic input may also contribute. Consolidation state is not inherent in definition, but typically material is unconsolidated or weakly consolidated.	This vocabulary	sesrs:material_formed_in_surficial_environment
sesrs:serpentinite	serpentinite	Rock consisting of more than 75 percent serpentine-group minerals, eg. antigorite, chrysotile or lizardite; accessory chlorite, talc and magnetite may be present; derived from hydration of ferromagnesian silicate minerals such as olivine and pyroxene.	Neuendorf et al. 2005	sesrs:meta_ultramafic_rock
sesrs:Matte	Matte 	molten metal sulfide phases typically formed during smelting of copper, nickel, and other base metals (https://en.wikipedia.org/wiki/Matte_(metallurgy) )		sesrs:mineral_processing_product
sesrs:Slag	Slag 			sesrs:mineral_processing_product
sesrs:clay	clay	Mud that consists of greater than 50 percent particles with grain size less than 0.004 mm	based on SLTTs 2004; Neuendorf et al. 2005; particle size from Wentworth grade scale	sesrs:mud
sesrs:silt	silt	Mud that consists of greater than 50 percent silt-size grains.	based on SLTTs 2004; Neuendorf et al. 2005; particle size from Wentworth grade scale	sesrs:mud
mat:sediment	Sediment	Solid granular material transported by wind, water, or gravity, not modified by interaction with biosphere or atmosphere (to differentiate from soil). Particles derived by erosion of pre-existing rock, from shell or other body parts from organisms, precipitated chemically in the surficial environment, or generated by explosive volcanic activity. (http://resource.geosciml.org/classifier/cgi/lithology/sediment). Sediment is not consolidated, i.e. Particulate constituents of a compound material do not adhere to each other strongly enough that the aggregate can be considered a solid material in its own right. Similar to http://purl.obolibrary.org/obo/ENVO_00002007	SLTTs 2004	sesrs:natural_nonconsolidated_material
mat:sediment	Sediment	Solid granular material transported by wind, water, or gravity, not modified by interaction with biosphere or atmosphere (to differentiate from soil). Particles might be derived by erosion of pre-existing rock, from shell or other body parts from organisms, precipitated chemically in the surficial environment, or generated by explosive volcanic activity. (http://resource.geosciml.org/classifier/cgi/lithology/sediment). Sediment is not consolidated, i.e. the particulate constituents do not adhere to each other strongly enough that the aggregate can be considered a solid material in its own right. Similar to http://purl.obolibrary.org/obo/ENVO_00002007	SLTTs 2004	sesrs:natural_nonconsolidated_material
mat:sediment	Sediment	Unconsolidated material consisting of an aggregation of particles transported or deposited by air, water or ice, or that accumulated by other natural agents, such as chemical precipitation, and that forms in layers on the Earth's surface. Includes epiclastic deposits.	SLTTs 2004	sesrs:natural_nonconsolidated_material
mat:soil	Soil	Mixed granular mineral and organic matter modified by interaction between earth material, biosphere, and atmosphere, consisting of varying proportions of sand, silt, and clay, organic material such as humus, gases, liquids, and a broad range of resident micro- and macroorganisms. (https://en.wikipedia.org/wiki/Soil) Soil consists of horizons near the Earth's surface that, in contrast to the underlying parent material, have been altered by the interactions of climate, relief, and living organisms over time. (http://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/edu/?cid=nrcs142p2_054280) (http://purl.obolibrary.org/obo/ENVO_00001998)		sesrs:natural_nonconsolidated_material
rksd:Non_Clastic_Siliceous_Sediment	non clastic siliceous sediment	Sediment that consists of at least 50 percent silicate mineral material, deposited directly by chemical or biological processes at the depositional surface, or in particles formed by chemical or biological processes within the basin of deposition.	NGMDB 2008; Hallsworth and Knox 1999	sesrs:non_clastic_siliceous_sedimentary_material
rksd:Non_Clastic_Siliceous_Sedimentary_Rock	non clastic siliceous sedimentary rock	Sedimentary rock that consists of at least 50 percent silicate mineral material, deposited directly by chemical or biological processes at the depositional surface, in particles formed by chemical or biological processes within the basin of deposition, or formed by diagenetic processes. Includes chert and flint found in carbonate rocks.	modified from SLTTs 2004	sesrs:non_clastic_siliceous_sedimentary_material
